User Id,Username,Fullname,Followed by you,Is verified,Profile URL,Avatar URL
61819479113,silasole0,Silas Pommer,YES,NO,https://www.instagram.com/silasole0,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/387268296_347370787731234_7020243280113834531_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=yPYQ9FggVJMAX-ICUOW&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfBLknZt76zdZVKkzW5gZIu3W9xzKKpD_FZp9WY0fRSrbQ&oe=6597027C&_nc_sid=17ea04
61789454983,nico.altm,Nico Altmann,YES,NO,https://www.instagram.com/nico.altm,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/378518969_693111025580638_2282525519081541416_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=4CcWtZZGSEkAX-4t5Tl&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfAC_b2SHwaXnEd3fZeVbLgFRYFFyfPvlDmzG6V-tPK9IA&oe=659574E7&_nc_sid=17ea04
59089414556,linklab.site,Linklab,YES,NO,https://www.instagram.com/linklab.site,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/343292056_182827181307225_3890517730578082904_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=109&_nc_ohc=aL7xWRtXBUsAX8vmaEB&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfAeXeQNStlIRD4ZugAFhqFmIzPR41xFxl1CbgImrYwOag&oe=6596CC38&_nc_sid=17ea04
59867018268,colombine_mast1,Colombine ❀,YES,NO,https://www.instagram.com/colombine_mast1,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/373350960_697324405545509_7273788133363414325_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=N2inwjHLt3QAX-UK51D&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfC3YE4xC19dRfGUzCGfK90FBAWJX4hvTu2wdpNXLrI1Cw&oe=6595F8CA&_nc_sid=17ea04
58594347616,twitgard,Nathan Delelis,YES,NO,https://www.instagram.com/twitgard,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/357762942_296977742803167_581344682011944991_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=103&_nc_ohc=8JanPnF8N5IAX__orXo&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfAlkoLzNDhH4eokgzEvlpvLjzdAYPnGVm-gOUwLgUu89w&oe=6595580F&_nc_sid=17ea04
23281503586,marie._dhe,Marie ☆,YES,NO,https://www.instagram.com/marie._dhe,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/370954124_260103310281598_6531910559609728343_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=17Exgu27-zIAX_39qYF&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfCMnnbLIJDf7VFv54FV9LN2zspDWTwNh5ZTgupgfQUV1w&oe=65968028&_nc_sid=17ea04
51718336916,charline_lsg,ᶜʰᵃ,YES,NO,https://www.instagram.com/charline_lsg,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/394682384_3681042695448425_8401861502647222685_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=TVYx9MiaPsAAX_H0k0A&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfBRhuce6ZlhdYI6kA4YnENxckY1CN2AMUelZR7NP0pysQ&oe=6596A073&_nc_sid=17ea04
53835179842,aug_wtl,aug_wtl,YES,NO,https://www.instagram.com/aug_wtl,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/404323056_310250338517220_2059840607052552216_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=100&_nc_ohc=sCod-UHsW74AX-PGsew&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfDM2niG-eUQXlxkds-MTlViIAYmJWd8MACDgQXJIY738w&oe=65968223&_nc_sid=17ea04
57152687570,phoebe_clr,Phoebe,YES,NO,https://www.instagram.com/phoebe_clr,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/339534355_1333255387235252_3901413960491278186_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_ohc=n8QJNp6bT3sAX8J8IiU&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfAzLjkjT6VGqBjBOhpDlZ84Mkd4LjPg9h6jcK1GOlj31Q&oe=6595E6FC&_nc_sid=17ea04
45070808032,quentin_vltg,Quentin Vultaggio,YES,NO,https://www.instagram.com/quentin_vltg,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/412700227_340510895500478_6244958737833704288_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=GO9Z53LMjGUAX_v-sb1&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfAyeg2pc777lxWIAEWyLYMZVf7Nm5BlKfHX10J0lSZZcg&oe=6595CFC8&_nc_sid=17ea04
56664459384,pilou_dml,Pierre-Louis Demailly,YES,NO,https://www.instagram.com/pilou_dml,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/372944386_229953360030265_5693658796742941565_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=0HFjsSq6TIAAX9U85Jk&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfAFoOtpJn03MdFnB9Dx1cVSVTgNVogxfq3fXkqfEHpBaA&oe=6596919D&_nc_sid=17ea04
58451966705,amand.490,𖦁ׅ ࣪ ׂ amandine ៵ ࣪ ִֶ,YES,NO,https://www.instagram.com/amand.490,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/410393690_369340448916449_7043165359788867909_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=5XnSAffyh2MAX8fUtFT&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfB-OJP3gmqr3pr2SYI5kE74f2DpfoIM3cxklDMNTLATLg&oe=65967274&_nc_sid=17ea04
56982035188,l_brl08,Louis Buryla,YES,NO,https://www.instagram.com/l_brl08,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-19/410102155_649074877440664_5085159675684547275_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=104&_nc_ohc=9RgBgAZ9kGsAX-SFkjm&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfB7WCoCE88NPgYUq4DszZU3tt6HXGU78Hjmt_nW76bF_g&oe=65970218&_nc_sid=17ea04
61403993328,developer.times,Developer times 🧑‍💻,YES,NO,https://www.instagram.com/developer.times,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/384121208_327229959818674_3022088298557600335_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=AzQNl9sU9s8AX_eFpdv&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfBfRrQ6U5VoSgg7aDbuHR3ONqzUdR4CbJbfzv0OjZj8oA&oe=65963AA8&_nc_sid=17ea04
60940051158,ella.rt1,Ella,YES,NO,https://www.instagram.com/ella.rt1,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/394679567_6707653679270146_6253452108728105013_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=q4wtv-JPEVwAX_4vqGA&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfDQ5Z5jelNxI82KaQmQuQ6INQhduFcTUcF3CsUXJ65M9g&oe=65955E26&_nc_sid=17ea04
2962972521,arnaudliard,Arnaud Liard,YES,NO,https://www.instagram.com/arnaudliard,https://scontent-cdg4-1.cdninstagram.com/v/t51.2885-19/318488015_872737214159777_8051169071026207228_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=BsN6KWlR_ksAX97erkC&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfC2eJKIlbocaL1h0FKvIctdwoJoKf8aCjGDIejQM_fm7Q&oe=65961F27&_nc_sid=17ea04
54498002291,ukki_levegetal,,YES,NO,https://www.instagram.com/ukki_levegetal,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/401797033_682091037027787_5410711855058159919_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=107&_nc_ohc=ZGuhfd7AhDwAX-6Ba1m&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfDuRjXFCBzvdTPt0AbuvjI4f_GdhsyGnXGjNk6idTZugw&oe=6596E97B&_nc_sid=17ea04
60857826869,vg_technologies,VG Technologies Pvt Ltd,YES,NO,https://www.instagram.com/vg_technologies,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-19/362586329_1622332878276240_2406819408566185965_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=100&_nc_ohc=7rJfsOiCnuYAX-r6KNH&edm=AOG-cTkBAAAA&ccb=7-5&oh=00_AfCuwztvVpuHLb3E0bzB_rOa4vwS_i8BryBBGsPWcmQl8Q&oe=659613CF&_nc_sid=17ea04
